2025-08-31 04:06:52,380 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:06:52,381 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:07:11,032 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:33:57,623 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:53,913 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:37:00,755 - RTPM_APP - WARNING - Frame sync mismatch: expected 1, got 158
2025-08-31 04:37:00,757 - RTPM_APP - WARNING - Frame sync mismatch: expected 2, got 159
2025-08-31 04:37:00,849 - RTPM_APP - WARNING - Frame sync mismatch: expected 3, got 1
2025-08-31 04:37:00,968 - RTPM_APP - WARNING - Frame sync mismatch: expected 4, got 2
2025-08-31 04:37:00,972 - RTPM_APP - WARNING - Frame sync mismatch: expected 5, got 3
2025-08-31 04:37:01,102 - RTPM_APP - WARNING - Frame sync mismatch: expected 6, got 4
2025-08-31 04:37:01,105 - RTPM_APP - WARNING - Frame sync mismatch: expected 7, got 5
2025-08-31 04:37:01,233 - RTPM_APP - WARNING - Frame sync mismatch: expected 8, got 6
2025-08-31 04:37:01,353 - RTPM_APP - WARNING - Frame sync mismatch: expected 9, got 7
2025-08-31 04:37:01,358 - RTPM_APP - WARNING - Frame sync mismatch: expected 10, got 8
2025-08-31 04:37:01,449 - RTPM_APP - WARNING - Frame sync mismatch: expected 11, got 9
2025-08-31 04:37:01,480 - RTPM_APP - WARNING - Frame sync mismatch: expected 12, got 10
2025-08-31 04:37:01,556 - RTPM_APP - WARNING - Frame sync mismatch: expected 13, got 11
2025-08-31 04:37:01,685 - RTPM_APP - WARNING - Frame sync mismatch: expected 14, got 12
2025-08-31 04:37:01,806 - RTPM_APP - WARNING - Frame sync mismatch: expected 15, got 13
2025-08-31 04:37:01,810 - RTPM_APP - WARNING - Frame sync mismatch: expected 16, got 14
2025-08-31 04:37:01,939 - RTPM_APP - WARNING - Frame sync mismatch: expected 17, got 15
2025-08-31 04:37:01,943 - RTPM_APP - WARNING - Frame sync mismatch: expected 18, got 16
2025-08-31 04:37:02,075 - RTPM_APP - WARNING - Frame sync mismatch: expected 19, got 17
2025-08-31 04:37:02,078 - RTPM_APP - WARNING - Frame sync mismatch: expected 20, got 18
2025-08-31 04:37:02,188 - RTPM_APP - WARNING - Frame sync mismatch: expected 21, got 19
2025-08-31 04:37:02,310 - RTPM_APP - WARNING - Frame sync mismatch: expected 22, got 20
2025-08-31 04:37:02,313 - RTPM_APP - WARNING - Frame sync mismatch: expected 23, got 21
2025-08-31 04:37:02,437 - RTPM_APP - WARNING - Frame sync mismatch: expected 24, got 22
2025-08-31 04:37:02,544 - RTPM_APP - WARNING - Frame sync mismatch: expected 25, got 23
2025-08-31 04:37:02,546 - RTPM_APP - WARNING - Frame sync mismatch: expected 26, got 24
2025-08-31 04:37:02,664 - RTPM_APP - WARNING - Frame sync mismatch: expected 27, got 25
2025-08-31 04:37:02,765 - RTPM_APP - WARNING - Frame sync mismatch: expected 28, got 26
2025-08-31 04:37:02,770 - RTPM_APP - WARNING - Frame sync mismatch: expected 29, got 27
2025-08-31 04:37:02,819 - RTPM_APP - WARNING - Frame sync mismatch: expected 30, got 28
2025-08-31 04:37:03,008 - RTPM_APP - WARNING - Frame sync mismatch: expected 31, got 29
2025-08-31 04:37:03,094 - RTPM_APP - WARNING - Frame sync mismatch: expected 32, got 30
2025-08-31 04:37:03,183 - RTPM_APP - WARNING - Frame sync mismatch: expected 33, got 31
2025-08-31 04:37:03,277 - RTPM_APP - WARNING - Frame sync mismatch: expected 34, got 32
2025-08-31 04:37:03,354 - RTPM_APP - WARNING - Frame sync mismatch: expected 35, got 33
2025-08-31 04:37:03,422 - RTPM_APP - WARNING - Frame sync mismatch: expected 36, got 34
2025-08-31 04:37:03,507 - RTPM_APP - WARNING - Frame sync mismatch: expected 37, got 35
2025-08-31 04:37:03,550 - RTPM_APP - WARNING - Frame sync mismatch: expected 38, got 36
2025-08-31 04:37:03,701 - RTPM_APP - WARNING - Frame sync mismatch: expected 39, got 37
2025-08-31 04:37:03,781 - RTPM_APP - WARNING - Frame sync mismatch: expected 40, got 38
2025-08-31 04:37:03,868 - RTPM_APP - WARNING - Frame sync mismatch: expected 41, got 39
2025-08-31 04:37:03,937 - RTPM_APP - WARNING - Frame sync mismatch: expected 42, got 40
2025-08-31 04:37:04,014 - RTPM_APP - WARNING - Frame sync mismatch: expected 43, got 41
2025-08-31 04:37:04,113 - RTPM_APP - WARNING - Frame sync mismatch: expected 44, got 42
2025-08-31 04:37:04,199 - RTPM_APP - WARNING - Frame sync mismatch: expected 45, got 43
2025-08-31 04:37:04,301 - RTPM_APP - WARNING - Frame sync mismatch: expected 46, got 44
2025-08-31 04:37:04,395 - RTPM_APP - WARNING - Frame sync mismatch: expected 47, got 45
2025-08-31 04:37:04,496 - RTPM_APP - WARNING - Frame sync mismatch: expected 48, got 46
2025-08-31 04:37:04,594 - RTPM_APP - WARNING - Frame sync mismatch: expected 49, got 47
2025-08-31 04:37:04,666 - RTPM_APP - WARNING - Frame sync mismatch: expected 50, got 48
2025-08-31 04:37:04,751 - RTPM_APP - WARNING - Frame sync mismatch: expected 51, got 49
2025-08-31 04:37:04,839 - RTPM_APP - WARNING - Frame sync mismatch: expected 52, got 50
2025-08-31 04:37:04,931 - RTPM_APP - WARNING - Frame sync mismatch: expected 53, got 51
2025-08-31 04:37:05,002 - RTPM_APP - WARNING - Frame sync mismatch: expected 54, got 52
2025-08-31 04:37:05,095 - RTPM_APP - WARNING - Frame sync mismatch: expected 55, got 53
2025-08-31 04:37:05,187 - RTPM_APP - WARNING - Frame sync mismatch: expected 56, got 54
2025-08-31 04:37:05,271 - RTPM_APP - WARNING - Frame sync mismatch: expected 57, got 55
2025-08-31 04:37:05,363 - RTPM_APP - WARNING - Frame sync mismatch: expected 58, got 56
2025-08-31 04:37:05,442 - RTPM_APP - WARNING - Frame sync mismatch: expected 59, got 57
2025-08-31 04:37:05,521 - RTPM_APP - WARNING - Frame sync mismatch: expected 60, got 58
2025-08-31 04:37:05,600 - RTPM_APP - WARNING - Frame sync mismatch: expected 61, got 59
2025-08-31 04:37:05,694 - RTPM_APP - WARNING - Frame sync mismatch: expected 62, got 60
2025-08-31 04:37:05,781 - RTPM_APP - WARNING - Frame sync mismatch: expected 63, got 61
2025-08-31 04:37:05,886 - RTPM_APP - WARNING - Frame sync mismatch: expected 64, got 62
2025-08-31 04:37:05,966 - RTPM_APP - WARNING - Frame sync mismatch: expected 65, got 63
2025-08-31 04:37:06,058 - RTPM_APP - WARNING - Frame sync mismatch: expected 66, got 64
2025-08-31 04:37:06,144 - RTPM_APP - WARNING - Frame sync mismatch: expected 67, got 65
2025-08-31 04:37:06,231 - RTPM_APP - WARNING - Frame sync mismatch: expected 68, got 66
2025-08-31 04:37:06,327 - RTPM_APP - WARNING - Frame sync mismatch: expected 69, got 67
2025-08-31 04:37:06,445 - RTPM_APP - WARNING - Frame sync mismatch: expected 70, got 68
2025-08-31 04:37:06,516 - RTPM_APP - WARNING - Frame sync mismatch: expected 71, got 69
2025-08-31 04:37:06,601 - RTPM_APP - WARNING - Frame sync mismatch: expected 72, got 70
2025-08-31 04:37:06,673 - RTPM_APP - WARNING - Frame sync mismatch: expected 73, got 71
2025-08-31 04:37:06,761 - RTPM_APP - WARNING - Frame sync mismatch: expected 74, got 72
2025-08-31 04:37:06,851 - RTPM_APP - WARNING - Frame sync mismatch: expected 75, got 73
2025-08-31 04:37:06,941 - RTPM_APP - WARNING - Frame sync mismatch: expected 76, got 74
2025-08-31 04:37:07,030 - RTPM_APP - WARNING - Frame sync mismatch: expected 77, got 75
2025-08-31 04:37:07,114 - RTPM_APP - WARNING - Frame sync mismatch: expected 78, got 76
2025-08-31 04:37:07,195 - RTPM_APP - WARNING - Frame sync mismatch: expected 79, got 77
2025-08-31 04:37:07,288 - RTPM_APP - WARNING - Frame sync mismatch: expected 80, got 78
2025-08-31 04:37:07,379 - RTPM_APP - WARNING - Frame sync mismatch: expected 81, got 79
2025-08-31 04:37:07,466 - RTPM_APP - WARNING - Frame sync mismatch: expected 82, got 80
2025-08-31 04:37:07,552 - RTPM_APP - WARNING - Frame sync mismatch: expected 83, got 81
2025-08-31 04:37:07,631 - RTPM_APP - WARNING - Frame sync mismatch: expected 84, got 82
2025-08-31 04:37:07,714 - RTPM_APP - WARNING - Frame sync mismatch: expected 85, got 83
2025-08-31 04:37:07,794 - RTPM_APP - WARNING - Frame sync mismatch: expected 86, got 84
2025-08-31 04:37:07,890 - RTPM_APP - WARNING - Frame sync mismatch: expected 87, got 85
2025-08-31 04:37:07,984 - RTPM_APP - WARNING - Frame sync mismatch: expected 88, got 86
2025-08-31 04:37:08,083 - RTPM_APP - WARNING - Frame sync mismatch: expected 89, got 87
2025-08-31 04:37:08,174 - RTPM_APP - WARNING - Frame sync mismatch: expected 90, got 88
2025-08-31 04:37:08,262 - RTPM_APP - WARNING - Frame sync mismatch: expected 91, got 89
2025-08-31 04:37:08,358 - RTPM_APP - WARNING - Frame sync mismatch: expected 92, got 90
